listed_company,time,gross_margin_pct
UAA,2021,50.3
UAA,2023,44.9
UAA,2024,10.5
UAA,2025,47.9
UI,2013,55.0
UI,2014,50.4
UI,2016,48.7
UI,2017,45.7
UI,2018,11.9
UI,2019,11.4
UI,2020,11.8
UI,2021,48.1
UI,2022,39.6
UI,2023,39.2
UI,2024,38.4
UI,2025,43.4
URBN,2017,35.1
URBN,2018,32.5
URBN,2019,34.1
URBN,2020,31.1
URBN,2021,25.0
URBN,2022,32.8
URBN,2023,29.8
URBN,2024,33.3
URBN,2025,34.7
UTHR,2009,88.3
UTHR,2010,24.0
UTHR,2011,22.7
UTHR,2012,22.1
UTHR,2013,22.2
UTHR,2014,25.6
UTHR,2015,25.9
UTHR,2016,23.8
UTHR,2017,23.9
UTHR,2018,21.5
UTHR,2019,19.5
UTHR,2020,92.7
VEEV,2012,52.6
VEEV,2013,17.8
VEEV,2014,60.7
VEEV,2015,17.8
VEEV,2016,18.2
VEEV,2017,19.1
VEEV,2018,18.4
VEEV,2019,19.5
VEEV,2020,19.7
VICR,2023,50.6
VICR,2024,51.2
VICR,2025,57.3
W,2012,24.2
W,2013,24.5
W,2014,23.6
W,2015,24.0
W,2016,23.9
W,2017,23.7
WLK,2013,91.7
WLK,2017,21.9
WLK,2018,4.1
WLK,2019,3.1
WLK,2020,4.3
WLK,2021,29.7
WLK,2022,25.8
WLK,2023,17.7
WLK,2024,16.1
WLK,2025,7.3
WSO,2008,26.0
WSO,2009,24.0
WSO,2010,23.7
WSO,2011,5.4
WSO,2012,5.3
WSO,2013,5.3
WSO,2014,5.4
WSO,2015,5.4
WSO,2016,5.4
WSO,2017,5.5
WSO,2018,5.5
WSO,2019,5.5
WSO,2020,5.6
WSO,2021,26.6
WSO,2022,27.9
WSO,2023,27.4
WSO,2024,26.8
WSO,2025,28.0
XYZ,2016,33.7
XYZ,2017,37.9
XYZ,2018,39.5
XYZ,2019,40.1
XYZ,2020,28.8
XYZ,2021,25.0
XYZ,2022,34.2
XYZ,2023,34.2
XYZ,2024,36.9
XYZ,2025,42.8
ZM,2018,79.7
ZM,2019,81.5
ZM,2020,25.0
ZM,2021,23.2
ZM,2022,74.3
ZM,2023,74.9
ZM,2024,76.2
ZM,2025,75.8
ZM,2026,77.0
ZS,2016,74.9
ZS,2017,78.1
ZS,2018,80.1
ZS,2019,80.3
ZS,2020,77.8
ZS,2021,77.7
ZS,2022,77.8
ZS,2023,77.6
ZS,2024,78.0
ZS,2025,76.9
